Id,Weight,OwnScript,FightScript,Icon,Type,Source,Rarity
id,权重,本身脚本;,战斗脚本,图片名称,类型,选项 1,稀有度
1,2,PlayerInfo.Strength+=2;,,Icon/Blessing/士兵,正面,物资,1
2,2,PlayerInfo.Wisdom+=2;,,Icon/Blessing/法师,正面,物资,1
3,2,PlayerInfo.Perceive+=2;,,Icon/Blessing/刺客,正面,物资,1
4,2,PlayerInfo.Lucky+=2;,,Icon/Blessing/羽兽,正面,物资,1
5,4,"PlayerInfo.ChangeSelected(""2"");",,Icon/Blessing/皇后,正面,物资,2
6,2,,"AddEvent(""FightStart"",(() => {PlayerInfo.Hp+=2;}));",Icon/Blessing/牧师,正面,技能,1
7,2,PlayerInfo.MaxHp+=5;,,Icon/Blessing/守卫,正面,物资,1
8,2,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_evergreen"",""1"");}));",Icon/Blessing/天使,正面,技能,1
9,3,,"AddEvent(""FightStart"",() => {SetStatus(""Self"");AddBuff(""buff_resilient"",""1"");});",Icon/Blessing/盾卫,正面,技能,2
10,2,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");ChangeDefence(""3"");}));",Icon/Blessing/律法,正面,技能,2
11,4,,"AddEvent(""FightStart"",(() => {DrawCount(""1"");}));",Icon/Blessing/工匠,正面,技能,2
12,5,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_fast"",""1"");}));",Icon/Blessing/游侠,正面,技能,2
14,7,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_cycle"",""1"");}));",Icon/Blessing/命运之轮,正面,技能,3
15,5,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_keenedge"",""1"");}));",Icon/Blessing/士官,正面,技能,2
18,2,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_erupt"",""1"");}));",Icon/Blessing/剑士,正面,技能,1
19,6,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_elements"",""4"");}));",Icon/Blessing/主教,正面,技能,3
20,4,,"AddEvent(""FightStart"",(() => {SetStatus(""AllRandomEnemy1"");AddBuff(""buff_vulnerability"",""1"");}));",Icon/Blessing/萨满,正面,技能,2
21,3,PlayerInfo.Money+=40;,,Icon/Blessing/国王,正面,物资,2
22,4,PlayerInfo.MoneyMultiplier+=10;,,Icon/Blessing/教皇,正面,技能,2
23,8,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_frenzy"",""1"");}));",Icon/Blessing/审判,正面,技能,3
24,7,,"AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_oniblood"",""1"");}));",Icon/Blessing/血鬼,正面,技能,3
*101,2,,"if (PlayerInfo.Strength<10)
        {
            return;
        }AddEvent(""FightStart"",(() => {SetStatus(""Self"");AddBuff(""buff_erupt"",  ""6"");}));",Icon/Blessing/主教,正面,技能,3
